County_name,State_name,County_code,Year,Total_population,Total_households,Female_population,Male_population,Median_age,Median_household_income_past_12m,Bachelor_degree,Master_degree,Professional_degree,Doctorate_degree,Num_employed,Num_unemployed,Labor_force,Avg_household_size,Median_value_owner_occupied_housing,Median_gross_rent,Households_no_internet,Households_internet_subscription,Households_solar_energy_fuel,Num_under_18,Num_18_to_34,Num_35_to_64,Num_65_more,Num_industry_agriculture_fishing_hunting,Calculated_Total,Total_matches
"Glenn County, California",06,021,2013,28054,9628,13860,14194,37.2,43023,1778.0,550.0,195.0,62.0,10813,1584,12397,2.87,217700,720,,,0,7754,5673,10815,3812,1852,28054,True
"Butte County, California",06,007,2013,220542,84816,111342,109200,37.0,43752,22977.0,7340.0,2590.0,1599.0,87159,14353,101512,2.53,225900,890,,,52,45761,59877,80054,34850,2795,220542,True
"Plumas County, California",06,063,2013,19586,8997,9776,9810,49.9,45794,1940.0,987.0,204.0,197.0,7461,1551,9012,2.13,243700,799,,,0,3558,3117,8576,4335,826,19586,True
"San Luis Obispo County, California",06,079,2013,272094,102154,132979,139115,39.5,58697,35579.0,13615.0,4357.0,3095.0,122909,11360,134269,2.5,426600,1211,,,228,50889,73254,104967,42984,3927,272094,True
"Kern County, California",06,029,2013,848204,255271,411556,436648,30.8,48552,49384.0,17620.0,4877.0,2706.0,317047,50233,367280,3.19,161700,885,,,316,254390,219459,296061,78294,36181,848204,True
"Ventura County, California",06,111,2013,829017,267076,417296,411721,36.6,76544,106166.0,42413.0,12769.0,7311.0,389297,41171,430468,3.06,442200,1470,,,369,209433,189360,328873,101351,17894,829017,True
"Calaveras County, California",06,009,2013,45147,18702,22535,22612,50.0,55295,5044.0,1451.0,447.0,178.0,17598,2307,19905,2.38,254800,1061,,,32,8610,6399,20041,10097,313,45147,True
"San Mateo County, California",06,081,2013,729543,257941,370583,358960,39.3,88202,137435.0,57517.0,18326.0,14495.0,371212,32594,403806,2.79,722200,1602,,,225,160568,157101,311368,100506,2329,729543,True
"Tuolumne County, California",06,109,2013,54728,22025,25935,28793,48.0,48426,5335.0,1841.0,633.0,206.0,18988,3965,22953,2.31,269400,919,,,36,9423,10387,23254,11664,532,54728,True
"Amador County, California",06,005,2013,37422,14262,17186,20236,49.1,53684,4104.0,902.0,398.0,171.0,12609,2546,15155,2.32,270500,1006,,,3,6066,5917,17293,8146,204,37422,True
"Merced County, California",06,047,2013,258707,75409,128196,130511,30.0,42591,12444.0,3689.0,1776.0,720.0,93207,20299,113506,3.36,146400,860,,,82,80203,66544,86774,25186,11800,258707,True
"Mariposa County, California",06,043,2013,18061,7238,8990,9071,50.1,49820,1999.0,600.0,223.0,84.0,7365,1239,8604,2.36,235000,866,,,0,3124,2947,8021,3969,183,18061,True
"Yuba County, California",06,115,2013,72574,24300,35632,36942,31.9,44902,4380.0,1134.0,401.0,123.0,24078,5776,29854,2.93,171000,863,,,10,20862,18394,25762,7556,1268,72574,True
"Contra Costa County, California",06,013,2013,1065794,375855,545574,520220,38.6,78756,178698.0,65884.0,21427.0,13328.0,491161,56720,547881,2.81,404000,1365,,,410,260120,221773,445850,138051,2458,1065794,True
"Lassen County, California",06,035,2013,34018,9945,11463,22555,37.3,53107,2218.0,669.0,242.0,104.0,9583,1509,11092,2.36,185500,867,,,23,5414,10573,14527,3504,458,34018,True
"Stanislaus County, California",06,099,2013,518321,166883,261770,256551,33.0,49297,35149.0,11229.0,4324.0,1402.0,203232,40996,244228,3.07,172900,992,,,55,146284,125513,189315,57209,11612,518321,True
"Sonoma County, California",06,097,2013,487469,185660,247808,239661,40.2,63356,70116.0,25228.0,9152.0,3949.0,232206,26411,258617,2.57,407400,1265,,,583,105145,108120,202644,71560,7007,487469,True
"Tehama County, California",06,103,2013,63241,23374,31806,31435,39.9,41924,3734.0,1258.0,487.0,194.0,22495,4217,26712,2.66,177100,821,,,29,15804,12584,24477,10376,1540,63241,True
"Mono County, California",06,051,2013,14217,5268,6654,7563,37.2,61757,1889.0,700.0,304.0,14.0,7852,904,8756,2.65,344500,1118,,,16,2988,3643,6102,1484,271,14217,True
"San Benito County, California",06,069,2013,56115,16995,28064,28051,34.5,66237,4702.0,1133.0,420.0,103.0,24793,3971,28764,3.28,343000,1233,,,51,15826,12517,22011,5761,1723,56115,True
"Sacramento County, California",06,067,2013,1435207,517243,732421,702786,35.1,55064,174232.0,56896.0,20167.0,9251.0,610662,97193,707855,2.72,234200,1024,,,213,361727,354841,551804,166835,4145,1435207,True
"El Dorado County, California",06,017,2013,180982,67885,90406,90576,44.1,69297,27370.0,8999.0,2844.0,1426.0,81175,11030,92205,2.64,359500,1090,,,146,40128,31190,81537,28127,895,180982,True
"Monterey County, California",06,053,2013,420569,125428,204224,216345,33.0,59168,37138.0,15556.0,4407.0,3212.0,174453,21545,195998,3.2,362400,1209,,,144,111948,109667,152684,46270,27298,420569,True
"Sierra County, California",06,091,2013,3127,1253,1630,1497,51.3,39009,403.0,32.0,21.0,0.0,1140,129,1269,2.45,231400,1040,,,0,515,342,1622,648,90,3127,True
"Santa Barbara County, California",06,083,2013,427288,141720,212746,214542,33.5,62779,48533.0,21173.0,6701.0,6018.0,196190,20352,216542,2.89,453000,1340,,,196,97839,123159,150112,56178,16910,427288,True
"Imperial County, California",06,025,2013,175201,48099,85118,90083,31.8,41807,9603.0,3344.0,760.0,230.0,58169,13214,71383,3.42,147300,744,,,13,50858,43897,61484,18962,5252,175201,True
"Alameda County, California",06,001,2013,1535248,545071,782408,752840,36.8,72112,256881.0,121868.0,28461.0,28998.0,732923,84354,817277,2.76,493800,1289,,,865,341314,384008,633226,176700,2027,1535248,True
"Napa County, California",06,055,2013,137837,49431,69116,68721,39.8,70443,19438.0,6430.0,2465.0,1023.0,66087,6625,72712,2.69,428600,1350,,,187,31324,29455,55584,21474,3983,137837,True
"San Francisco County, California",06,075,2013,817501,345344,402218,415283,38.5,75604,201608.0,84503.0,31408.0,15373.0,456845,41148,497993,2.31,744600,1488,,,475,109537,247972,346862,113130,855,817501,True
"Colusa County, California",06,011,2013,21366,6853,10302,11064,33.9,52158,1480.0,177.0,126.0,25.0,8653,1322,9975,3.07,181600,923,,,19,6236,4699,7820,2611,2175,21366,True
"Kings County, California",06,031,2013,151806,40785,66687,85119,31.1,48133,8745.0,2087.0,846.0,159.0,51566,9249,60815,3.28,176900,871,,,39,42150,42540,54626,12490,8265,151806,True
"Fresno County, California",06,019,2013,939605,289811,470401,469204,30.9,45563,72578.0,22333.0,9354.0,4028.0,363912,61663,425575,3.18,195400,875,,,579,277524,244059,320834,97188,37380,939605,True
"Orange County, California",06,059,2013,3051771,995512,1542097,1509674,36.4,75422,480104.0,173290.0,55730.0,29727.0,1453951,150339,1604290,3.02,519600,1498,,,669,732841,732211,1219342,367377,5996,3051771,True
"Sutter County, California",06,101,2013,94787,31725,47704,47083,34.8,50408,7973.0,2070.0,890.0,243.0,37230,6552,43782,2.95,188500,889,,,14,25728,21934,34628,12497,3402,94787,True
"San Joaquin County, California",06,077,2013,693177,215563,348072,345105,32.9,53380,52122.0,15242.0,5410.0,3266.0,270795,52165,322960,3.14,208000,1026,,,139,199991,164648,253875,74663,13049,693177,True
"Lake County, California",06,033,2013,64260,26505,31894,32366,45.1,36548,5248.0,1573.0,359.0,242.0,22718,4488,27206,2.38,183600,900,,,13,13341,11681,27465,11773,1168,64260,True
"Modoc County, California",06,049,2013,9468,3983,4691,4777,46.9,36212,927.0,194.0,93.0,61.0,3635,434,4069,2.23,164100,633,,,0,2069,1448,3983,1968,605,9468,True
"Inyo County, California",06,027,2013,18482,7873,9170,9312,45.7,44796,1749.0,714.0,267.0,132.0,8692,826,9518,2.3,236100,829,,,9,3881,3267,7770,3564,260,18482,True
"Lake County, California",06,033,2014,64209,26771,31910,32299,45.2,35997,4935.0,1745.0,420.0,344.0,22288,4452,26740,2.36,167900,921,,,24,13209,11750,27089,12161,1238,64209,True
"Modoc County, California",06,049,2014,9335,3893,4608,4727,47.1,38560,955.0,144.0,95.0,59.0,3517,495,4012,2.25,157300,671,,,0,1981,1491,3886,1977,544,9335,True
"Inyo County, California",06,027,2014,18439,7891,9171,9268,45.3,45625,1800.0,730.0,190.0,115.0,8336,713,9049,2.27,235200,835,,,0,3879,3318,7583,3659,223,18439,True
"Santa Barbara County, California",06,083,2014,431555,142028,215185,216370,33.6,63409,49596.0,21078.0,6943.0,5951.0,198675,19444,218119,2.91,446500,1357,,,263,98110,124841,150825,57779,16458,431555,True
"Imperial County, California",06,025,2014,177026,46952,86290,90736,31.9,41772,9993.0,3361.0,718.0,132.0,57838,12765,70603,3.55,145200,772,,,12,50993,44506,61706,19821,5450,177026,True
"Alameda County, California",06,001,2014,1559308,551734,795343,763965,36.9,73775,262854.0,127775.0,29431.0,29385.0,749786,79503,829289,2.77,509300,1325,,,966,342075,390709,642338,184186,2338,1559308,True
"Napa County, California",06,055,2014,139253,49631,69952,69301,40.3,70925,20343.0,6486.0,2502.0,1152.0,67312,6162,73474,2.71,439000,1376,,,225,31079,29712,56191,22271,4114,139253,True
"San Francisco County, California",06,075,2014,829072,348832,407556,421516,38.6,78378,208286.0,87685.0,31068.0,15524.0,466640,38318,504958,2.32,765700,1533,,,576,111188,251471,350340,116073,685,829072,True
"Colusa County, California",06,011,2014,21424,6912,10268,11156,34.1,50503,1491.0,225.0,150.0,30.0,8755,1239,9994,3.06,174500,864,,,15,6169,4738,7838,2679,2235,21424,True
"Kings County, California",06,031,2014,151390,41108,67157,84233,31.2,47341,8265.0,2065.0,1000.0,114.0,50951,8426,59377,3.24,170000,875,,,54,41869,42604,54076,12841,8097,151390,True
"Fresno County, California",06,019,2014,948844,292550,475417,473427,31.2,45201,73566.0,22909.0,8743.0,4395.0,367392,61422,428814,3.18,191700,884,,,842,277827,246176,324277,100564,37490,948844,True
"Orange County, California",06,059,2014,3086331,1002285,1561260,1525071,36.7,75998,494995.0,179886.0,57096.0,30554.0,1478643,142427,1621070,3.04,532300,1522,,,819,729650,741001,1233518,382162,5979,3086331,True
"Sutter County, California",06,101,2014,95067,31723,47804,47263,35.0,51527,7916.0,2127.0,788.0,318.0,37377,6075,43452,2.96,189600,898,,,22,25534,21997,34536,13000,3607,95067,True
"San Joaquin County, California",06,077,2014,701050,217343,352434,348616,33.2,53253,53111.0,15921.0,5186.0,3305.0,275581,48592,324173,3.15,211300,1033,,,392,199585,166781,256997,77687,13650,701050,True
"Merced County, California",06,047,2014,261609,76516,129710,131899,30.2,43066,12985.0,4009.0,1706.0,885.0,94994,20181,115175,3.35,152600,870,,,83,80126,67567,87801,26115,12368,261609,True
"Mariposa County, California",06,043,2014,17946,7289,8896,9050,50.2,50560,2006.0,696.0,228.0,126.0,7454,1132,8586,2.33,240300,838,,,0,3095,2991,7653,4207,190,17946,True
"Yuba County, California",06,115,2014,73059,24712,36039,37020,32.1,45470,4443.0,1365.0,384.0,136.0,24794,5203,29997,2.9,170800,884,,,12,20780,18540,25794,7945,1497,73059,True
"Contra Costa County, California",06,013,2014,1081232,380183,554058,527174,38.7,79799,183654.0,68914.0,21514.0,13504.0,499984,54315,554299,2.82,417400,1395,,,780,260195,226208,450405,144424,2648,1081232,True
"Lassen County, California",06,035,2014,33356,9821,10999,22357,37.3,53351,1999.0,695.0,318.0,113.0,9411,1458,10869,2.3,176500,901,,,31,5012,10657,14059,3628,429,33356,True
"Stanislaus County, California",06,099,2014,522794,168090,264176,258618,33.3,49573,35408.0,11419.0,4635.0,1368.0,205219,40070,245289,3.07,175400,993,,,203,145775,126523,191036,59460,11115,522794,True
"Sonoma County, California",06,097,2014,491790,186935,250461,241329,40.5,63799,72304.0,25309.0,9416.0,4201.0,235040,24894,259934,2.58,414500,1302,,,595,104532,108931,203192,75135,6801,491790,True
"Tehama County, California",06,103,2014,63284,23480,31790,31494,40.0,42369,4048.0,1276.0,520.0,159.0,22521,4315,26836,2.65,170300,833,,,60,15579,12622,24400,10683,1536,63284,True
"Mono County, California",06,051,2014,14193,5160,6673,7520,37.2,61814,2322.0,588.0,309.0,0.0,7520,1014,8534,2.7,324600,1061,,,8,2875,3661,6055,1602,353,14193,True
"San Benito County, California",06,069,2014,56888,17121,28460,28428,34.8,67874,4849.0,1262.0,481.0,169.0,25260,4124,29384,3.3,357200,1265,,,66,15788,12771,22377,5952,1843,56888,True
"Sierra County, California",06,091,2014,3019,1291,1538,1481,53.5,43107,371.0,74.0,12.0,0.0,1203,91,1294,2.31,195700,1010,,,0,501,304,1517,697,78,3019,True
"Sacramento County, California",06,067,2014,1450277,519460,740598,709679,35.3,55615,176972.0,59253.0,20863.0,10029.0,619316,93301,712617,2.74,236500,1035,,,409,361130,358444,557027,173676,4651,1450277,True
"El Dorado County, California",06,017,2014,181465,67220,90721,90744,44.4,68507,27179.0,9224.0,2953.0,1649.0,79965,10215,90180,2.67,356900,1073,,,261,39455,31521,80923,29566,838,181465,True
"Monterey County, California",06,053,2014,424927,125115,206867,218060,33.3,58582,37596.0,15924.0,4471.0,3441.0,175455,18709,194164,3.24,362100,1228,,,206,112718,109955,154359,47895,29122,424927,True
"San Diego County, California",06,073,2014,3183143,1083811,1584877,1598266,34.9,63996,455144.0,181805.0,53877.0,42120.0,1421325,150837,1572162,2.85,412800,1328,,,2352,726898,867145,1206921,382179,12785,3183143,True
"Tulare County, California",06,107,2014,451108,132706,225227,225881,30.1,42863,23091.0,7420.0,2887.0,868.0,170819,26687,197506,3.36,161000,826,,,81,144268,111904,150203,44733,32857,451108,True
"Yolo County, California",06,113,2014,204162,70953,104634,99528,31.0,55508,23414.0,11716.0,4518.0,6049.0,91643,9738,101381,2.76,317700,1096,,,281,45257,67625,69558,21722,3698,204162,True
"Humboldt County, California",06,023,2014,134876,53130,67343,67533,37.4,42153,16786.0,5169.0,1629.0,1411.0,58838,7512,66350,2.46,281300,899,,,101,26524,36726,52550,19076,2452,134876,True
"Nevada County, California",06,057,2014,98606,40838,49794,48812,48.8,56949,15724.0,5484.0,2063.0,877.0,41788,4993,46781,2.39,344800,1190,,,95,18115,16349,43041,21101,585,98606,True
"Alpine County, California",06,003,2014,1202,377,537,665,43.6,61343,153.0,47.0,11.0,46.0,505,32,537,3.11,313800,775,,,0,235,245,497,225,4,1202,True
"Madera County, California",06,039,2014,152452,42723,79002,73450,33.3,45490,8858.0,2452.0,895.0,457.0,52544,5530,58074,3.37,179100,937,,,50,42835,36662,54530,18425,10895,152452,True
"Los Angeles County, California",06,037,2014,9974203,3242391,5060515,4913688,35.3,55870,1281851.0,442258.0,153552.0,83602.0,4548646,564669,5113315,3.02,425100,1221,,,2640,2347600,2590990,3885720,1149893,20712,9974203,True
"Mendocino County, California",06,045,2014,87612,33693,43633,43979,42.0,43290,8930.0,3227.0,1152.0,463.0,36957,5193,42150,2.53,310300,972,,,86,19216,17310,35968,15118,2131,87612,True
"Santa Cruz County, California",06,087,2014,267203,94219,134386,132817,36.9,66923,39582.0,16915.0,4353.0,3716.0,129416,12376,141792,2.72,559500,1427,,,244,54991,72722,106878,32612,7089,267203,True
"Trinity County, California",06,105,2014,13515,5521,6630,6885,50.0,36862,1748.0,430.0,63.0,45.0,4668,698,5366,2.39,258500,802,,,7,2384,2077,6069,2985,123,13515,True
"Riverside County, California",06,065,2014,2266899,690388,1138975,1127924,34.2,56592,188561.0,73494.0,19204.0,11808.0,895237,149759,1044996,3.24,236400,1182,,,726,616767,538903,828541,282688,14234,2266899,True
"San Bernardino County, California",06,071,2014,2078586,607604,1044825,1033761,32.2,54100,151858.0,60071.0,14483.0,9367.0,812707,131293,944000,3.34,225400,1113,,,513,584394,532408,762022,199762,5598,2078586,True
"Santa Clara County, California",06,085,2014,1841569,614714,916721,924848,36.6,93854,324301.0,189646.0,33585.0,41452.0,888761,85977,974738,2.94,664100,1637,,,1055,434411,440181,752262,214715,5122,1841569,True
"Marin County, California",06,041,2014,256802,103034,130964,125838,45.1,91529,58107.0,27681.0,11635.0,5917.0,126429,9756,136185,2.41,785100,1659,,,351,52816,39795,117553,46638,744,256802,True
"Placer County, California",06,061,2014,361518,134111,185028,176490,40.7,73747,59598.0,19691.0,6064.0,3073.0,159811,16469,176280,2.67,345900,1277,,,434,85402,68591,147520,60005,724,361518,True
"Siskiyou County, California",06,093,2014,44261,19380,22240,22021,47.3,37495,5173.0,1860.0,410.0,220.0,16225,2725,18950,2.25,185400,799,,,55,9062,7554,18282,9363,1336,44261,True
"Shasta County, California",06,089,2014,178520,68961,90828,87692,41.9,44556,15358.0,5446.0,1844.0,1004.0,67871,9445,77316,2.54,213700,932,,,32,39105,36743,70286,32386,1481,178520,True
"Solano County, California",06,095,2014,421624,142521,211723,209901,37.2,67341,47620.0,13014.0,4821.0,2536.0,183876,25256,209132,2.87,263600,1290,,,402,99575,99791,169947,52311,2350,421624,True
"Del Norte County, California",06,015,2014,28066,9527,12503,15563,39.2,39302,2022.0,642.0,174.0,265.0,8668,1246,9914,2.57,180100,843,,,0,5984,6504,11426,4152,328,28066,True
"Glenn County, California",06,021,2014,28019,9561,13815,14204,36.7,40106,1916.0,558.0,246.0,77.0,10534,1641,12175,2.89,214600,716,,,21,7655,5932,10533,3899,1912,28019,True
"Butte County, California",06,007,2014,221578,85215,111833,109745,36.9,43165,23653.0,7585.0,2738.0,1532.0,88274,13323,101597,2.54,220100,899,,,155,45530,60727,79611,35710,2728,221578,True
"Plumas County, California",06,063,2014,19286,8529,9532,9754,50.6,48032,1956.0,906.0,290.0,173.0,7259,1455,8714,2.21,231400,824,,,0,3342,3116,8361,4467,650,19286,True
"San Luis Obispo County, California",06,079,2014,274184,102350,134238,139946,39.5,59454,36175.0,14387.0,4299.0,3299.0,122252,10667,132919,2.52,426200,1226,,,265,50725,74343,104370,44746,3556,274184,True
"Kern County, California",06,029,2014,857730,257737,417018,440712,31.0,48574,51067.0,17956.0,5099.0,2765.0,321221,49041,370262,3.2,161800,887,,,443,255295,222443,299195,80797,37589,857730,True
"Ventura County, California",06,111,2014,835790,267829,421512,414278,36.9,77335,108296.0,43588.0,12323.0,7646.0,394105,40806,434911,3.07,444800,1494,,,412,208063,191246,330882,105599,19559,835790,True
"Calaveras County, California",06,009,2014,44921,18608,22664,22257,50.3,54936,5034.0,1517.0,353.0,176.0,17212,2191,19403,2.38,242600,1072,,,42,8398,6448,19612,10463,362,44921,True
"San Mateo County, California",06,081,2014,739837,258683,375946,363891,39.4,91421,140683.0,59754.0,19275.0,15044.0,379767,30371,410138,2.82,736800,1664,,,265,161600,159506,314825,103906,2424,739837,True
"Tuolumne County, California",06,109,2014,54347,22181,25924,28423,48.2,48493,5528.0,1709.0,576.0,305.0,19455,3481,22936,2.28,262600,924,,,65,9153,10445,22826,11923,507,54347,True
"Amador County, California",06,005,2014,37159,13939,17193,19966,49.6,52964,4095.0,1067.0,534.0,181.0,12402,2342,14744,2.36,251800,1029,,,23,5979,5741,16976,8463,183,37159,True
"Merced County, California",06,047,2015,263885,77692,130733,133152,30.4,42462,13248.0,4382.0,1382.0,922.0,96170,18650,114820,3.32,161200,873,,,128,79992,68321,88623,26949,12960,263885,True
"Mariposa County, California",06,043,2015,17789,7345,8858,8931,50.6,47681,1889.0,717.0,251.0,167.0,7329,963,8292,2.29,235900,812,,,15,2983,2930,7573,4303,238,17789,True
"Yuba County, California",06,115,2015,73437,25139,36137,37300,32.1,46892,4455.0,1489.0,401.0,128.0,25499,4424,29923,2.87,172100,885,,,47,20652,18790,25838,8157,1319,73437,True
"Contra Costa County, California",06,013,2015,1096068,384646,561450,534618,38.8,80185,187160.0,70929.0,21753.0,14077.0,509920,48995,558915,2.82,439900,1426,,,1130,260467,230269,454501,150831,2642,1096068,True
"Lassen County, California",06,035,2015,32645,9707,10827,21818,37.0,51555,1925.0,615.0,309.0,80.0,9082,1109,10191,2.24,172900,882,,,53,4916,10494,13499,3736,521,32645,True
"Stanislaus County, California",06,099,2015,527367,169196,266322,261045,33.5,50125,36060.0,11818.0,4588.0,1515.0,208428,37259,245687,3.08,190800,989,,,296,145559,127636,192126,62046,11313,527367,True
"Sonoma County, California",06,097,2015,495078,187782,252261,242817,40.8,64240,73923.0,25770.0,9668.0,4499.0,240247,21168,261415,2.59,436400,1320,,,591,103689,109191,203182,79016,7910,495078,True
"Tehama County, California",06,103,2015,63152,23704,31663,31489,40.5,41001,4105.0,1364.0,501.0,193.0,23127,3511,26638,2.63,171500,782,,,74,15281,12511,24422,10938,1629,63152,True
"Mono County, California",06,051,2015,14146,4906,6835,7311,38.5,56944,2243.0,536.0,332.0,21.0,7061,1094,8155,2.82,313000,1068,,,9,2822,3610,5833,1881,386,14146,True
"San Benito County, California",06,069,2015,57557,17198,28784,28773,35.0,71077,4834.0,1373.0,452.0,214.0,26261,3636,29897,3.33,380200,1353,,,71,15773,12991,22530,6263,1800,57557,True
"Sacramento County, California",06,067,2015,1465832,522596,748715,717117,35.5,55987,184008.0,61344.0,22112.0,9891.0,633897,84904,718801,2.76,248400,1036,,,629,360744,361840,561961,181287,5087,1465832,True
"El Dorado County, California",06,017,2015,182093,67086,91123,90970,44.9,69584,26827.0,9686.0,3165.0,1673.0,79568,9925,89493,2.69,363000,1054,,,359,38825,31880,80341,31047,842,182093,True
"Monterey County, California",06,053,2015,428441,125402,209142,219299,33.5,58783,38266.0,15719.0,4563.0,3617.0,177333,16358,193691,3.26,369100,1236,,,272,113389,110033,155340,49679,30827,428441,True
"Sierra County, California",06,091,2015,3021,1252,1516,1505,54.5,42833,360.0,69.0,21.0,9.0,1110,96,1206,2.38,170400,938,,,0,463,332,1489,737,79,3021,True
"San Diego County, California",06,073,2015,3223096,1094157,1604151,1618945,35.1,64309,470339.0,190165.0,56309.0,43493.0,1462130,139302,1601432,2.86,429600,1344,,,3174,727474,879304,1218644,397674,13106,3223096,True
"Tulare County, California",06,107,2015,454033,133570,226607,227426,30.3,42031,24805.0,7467.0,2843.0,953.0,170780,23322,194102,3.36,162700,830,,,232,144013,112673,151235,46112,33058,454033,True
"Yolo County, California",06,113,2015,207320,71997,106383,100937,30.9,54989,23810.0,12402.0,4405.0,6422.0,92806,9225,102031,2.77,325700,1102,,,416,45366,69328,69869,22757,3636,207320,True
"Humboldt County, California",06,023,2015,135034,53036,67501,67533,37.4,42197,16774.0,5384.0,1664.0,1533.0,58449,6868,65317,2.47,279300,892,,,106,26444,36746,51950,19894,2550,135034,True
"Nevada County, California",06,057,2015,98570,40993,49902,48668,49.0,56521,16003.0,5976.0,2038.0,875.0,41473,4524,45997,2.38,347000,1191,,,165,17810,16504,42246,22010,456,98570,True
"Alpine County, California",06,003,2015,1131,358,477,654,43.6,52917,112.0,50.0,10.0,38.0,408,49,457,3.06,295000,913,,,0,251,223,433,224,0,1131,True
"Madera County, California",06,039,2015,153187,43159,79324,73863,33.5,45073,8876.0,2503.0,777.0,486.0,53032,4280,57312,3.35,189700,926,,,51,42771,36659,54652,19105,10545,153187,True
"Mendocino County, California",06,045,2015,87544,34017,43717,43827,42.2,42980,9648.0,3098.0,1136.0,617.0,36848,5107,41955,2.51,308400,960,,,81,19093,17112,35463,15876,2048,87544,True
"Santa Cruz County, California",06,087,2015,269278,94802,135564,133714,37.0,67256,40356.0,17045.0,4860.0,4247.0,131321,10866,142187,2.72,578800,1441,,,324,54688,73685,106388,34517,7146,269278,True
"Trinity County, California",06,105,2015,13373,5484,6495,6878,50.3,34974,1545.0,427.0,46.0,43.0,4832,479,5311,2.38,263100,786,,,10,2318,1944,5996,3115,105,13373,True
"Los Angeles County, California",06,037,2015,10038388,3263069,5093037,4945351,35.6,56196,1316803.0,458481.0,153427.0,85223.0,4635465,515124,5150589,3.02,441900,1231,,,3495,2322174,2609276,3917179,1189759,20621,10038388,True
"Riverside County, California",06,065,2015,2298032,699232,1154555,1143477,34.5,56603,192721.0,76987.0,19411.0,12654.0,920603,136070,1056673,3.24,253200,1179,,,1341,614733,548555,840531,294213,14866,2298032,True
"San Bernardino County, California",06,071,2015,2094769,614325,1052716,1042053,32.5,53433,156673.0,61936.0,14310.0,9298.0,829145,119583,948728,3.33,236700,1116,,,602,579758,538770,767313,208928,5037,2094769,True
"Santa Clara County, California",06,085,2015,1868149,621463,929145,939004,36.8,96310,330869.0,199599.0,34134.0,43627.0,915619,76126,991745,2.95,698600,1705,,,1237,435435,446870,762981,222863,4974,1868149,True
"Marin County, California",06,041,2015,258349,103670,131889,126460,45.4,93257,59435.0,28280.0,11733.0,6055.0,129027,7854,136881,2.41,815100,1678,,,380,53142,39964,116688,48555,704,258349,True
"Placer County, California",06,061,2015,366280,135456,187551,178729,41.0,73948,61722.0,20529.0,6405.0,3225.0,162616,14762,177378,2.67,358500,1303,,,513,85308,69592,148376,63004,892,366280,True
"Siskiyou County, California",06,093,2015,43895,19133,22070,21825,47.8,37170,4922.0,1648.0,429.0,225.0,16127,2337,18464,2.26,174700,806,,,65,8922,7465,17858,9650,1494,43895,True
"Shasta County, California",06,089,2015,178942,69375,91091,87851,42.2,44620,15910.0,5349.0,2181.0,954.0,69261,7965,77226,2.54,216600,926,,,67,38961,36861,69625,33495,1530,178942,True
"Solano County, California",06,095,2015,425753,143612,213872,211881,37.3,66828,50060.0,13776.0,4601.0,2557.0,187021,24000,211021,2.89,279100,1294,,,586,99163,101343,170209,55038,2470,425753,True
"Del Norte County, California",06,015,2015,27788,9420,12370,15418,38.8,40847,1831.0,660.0,198.0,265.0,8612,1116,9728,2.55,183700,808,,,0,5897,6367,11404,4120,347,27788,True
"Glenn County, California",06,021,2015,28029,9497,13861,14168,37.2,39349,1904.0,461.0,204.0,90.0,10523,1518,12041,2.92,204400,725,,,26,7590,5946,10506,3987,2007,28029,True
"Butte County, California",06,007,2015,222564,85318,112449,110115,36.8,43444,25062.0,7667.0,2763.0,1516.0,89411,12264,101675,2.55,221700,905,,,213,45422,61075,79248,36819,3214,222564,True
"Plumas County, California",06,063,2015,18966,8217,9358,9608,51.3,47333,1929.0,852.0,278.0,118.0,7200,1289,8489,2.26,217200,836,,,0,3227,2970,8155,4614,628,18966,True
"San Luis Obispo County, California",06,079,2015,276517,103576,135564,140953,39.3,60691,38026.0,14550.0,4339.0,3332.0,124997,8764,133761,2.51,445700,1235,,,401,50846,75284,103763,46624,3862,276517,True
"Kern County, California",06,029,2015,865736,259700,421189,444547,31.1,49026,52776.0,18062.0,5179.0,3038.0,327294,47438,374732,3.21,167400,888,,,603,255909,225310,301166,83351,38720,865736,True
"Ventura County, California",06,111,2015,840833,268969,424349,416484,37.1,77348,110073.0,44636.0,12327.0,7647.0,398116,37593,435709,3.08,458100,1507,,,523,206217,192754,331778,110084,20912,840833,True
"Calaveras County, California",06,009,2015,44767,18060,22624,22143,50.7,53233,4847.0,1639.0,402.0,130.0,16248,2227,18475,2.45,243800,1038,,,19,8190,6534,19176,10867,362,44767,True
"San Mateo County, California",06,081,2015,748731,259711,380315,368416,39.5,93623,143912.0,62487.0,20113.0,15389.0,387006,27732,414738,2.85,776300,1728,,,405,162030,161771,317566,107364,2195,748731,True
"Tuolumne County, California",06,109,2015,54079,22133,25861,28218,48.6,50306,5611.0,1899.0,538.0,300.0,19477,2878,22355,2.28,259300,917,,,78,9089,10385,22314,12291,471,54079,True
"Amador County, California",06,005,2015,36995,13925,16983,20012,50.0,54171,4204.0,1186.0,504.0,201.0,12573,2048,14621,2.36,251000,1047,,,38,5737,5997,16604,8657,125,36995,True
"Lake County, California",06,033,2015,64158,26993,32012,32146,45.5,35578,4988.0,1659.0,422.0,291.0,23011,3949,26960,2.34,164300,891,,,72,13120,11713,26642,12683,1500,64158,True
"Modoc County, California",06,049,2015,9184,3745,4520,4664,47.8,37860,890.0,208.0,74.0,39.0,3334,315,3649,2.32,153100,653,,,0,1884,1436,3796,2068,638,9184,True
